Title,Description,Tags,subcategory,vendor,Website URL,image_url
Title,Description,Tags,subcategory,vendor,Website URL,image_url
Awesome ChatGPT Prompts,A massive collection of role-play prompts and jailbreaks for ChatGPT,[Prompts],[Prompts],Fatih Kadir Akın,https://prompts.chat/,/img/libraries/awesome_chatgpt_prompts.png
Cursor MCPs,Acollection of MCPs,[MCP],[MCP],Midday,https://cursor.directory/mcp,/img/libraries/cursor_directory.png
Superhuman Prompt Library,Curated list of 1000+ copy-paste prompts for business and productivity,[Prompts],[Prompts],Superhuman (Zain Kahn),https://www.superhuman.ai/c/1000_chatgpt_prompts,/img/libraries/superhuman_prompt_library.png
Fabric,Open-source framework for prompts,[Prompts],[Prompts],Daniel Miessler,https://github.com/danielmiessler/Fabric,/img/libraries/fabric.png
Awesome Claude Skills,Collection of Claude skills,[Skills],[Skills],Composio,https://github.com/ComposioHQ/awesome-claude-skills,/img/libraries/awesome_claude_skills.png
npx skills,A collection of agent skills from Vercel Labs,[Skills],[Skills],Vercel Labs,https://github.com/vercel-labs/skills,/img/libraries/npx_skills.png
AgentSkills,Open-source repository of AgentSkills,[Skills],[Skills],AgentSkills,https://github.com/agentskills/agentskills,/img/libraries/agentskills_lib.png
